idx,hgmURL,TruparURL,liftPartsURL
37,http://store.hgmforkliftparts.com/-p553177.aspx,https://trupar.com/product/?grid%5Bfrontend-product-search-grid%5D=i%3D1%26p%3D12%26f%255Ball_text%255D%255Bvalue%255D%3DCL1804087%26f%255Ball_text%255D%255Btype%255D%3D1%26c%3D%26v%3D__all__%26a%3Dgrid%26g%255BoriginalRoute%255D%3Doro_product_frontend_product_index,http://www.liftpartswarehouse.com/SearchResults.asp?Search=cr65081-021&Submit=Submit
38,http://store.hgmforkliftparts.com/-p553213.aspx,https://trupar.com/product/?grid%5Bfrontend-product-search-grid%5D=i%3D1%26p%3D12%26f%255Ball_text%255D%255Bvalue%255D%3DCL1804170%26f%255Ball_text%255D%255Btype%255D%3D1%26c%3D%26v%3D__all__%26a%3Dgrid%26g%255BoriginalRoute%255D%3Doro_product_frontend_product_index,http://www.liftpartswarehouse.com/SearchResults.asp?Search=cr65081-021&Submit=Submit
39,http://store.hgmforkliftparts.com/-p551973.aspx,https://trupar.com/product/?grid%5Bfrontend-product-search-grid%5D=i%3D1%26p%3D12%26f%255Ball_text%255D%255Bvalue%255D%3DCL16954-015%26f%255Ball_text%255D%255Btype%255D%3D1%26c%3D%26v%3D__all__%26a%3Dgrid%26g%255BoriginalRoute%255D%3Doro_product_frontend_product_index,http://www.liftpartswarehouse.com/SearchResults.asp?Search=cr65081-021&Submit=Submit
40,http://store.hgmforkliftparts.com/-p550433.aspx,https://trupar.com/product/?grid%5Bfrontend-product-search-grid%5D=i%3D1%26p%3D12%26f%255Ball_text%255D%255Bvalue%255D%3DCL1301093%26f%255Ball_text%255D%255Btype%255D%3D1%26c%3D%26v%3D__all__%26a%3Dgrid%26g%255BoriginalRoute%255D%3Doro_product_frontend_product_index,http://www.liftpartswarehouse.com/SearchResults.asp?Search=cr65081-021&Submit=Submit
41,http://store.hgmforkliftparts.com/-p573860.aspx,https://trupar.com/product/?grid%5Bfrontend-product-search-grid%5D=i%3D1%26p%3D12%26f%255Ball_text%255D%255Bvalue%255D%3DCL654167%26f%255Ball_text%255D%255Btype%255D%3D1%26c%3D%26v%3D__all__%26a%3Dgrid%26g%255BoriginalRoute%255D%3Doro_product_frontend_product_index,http://www.liftpartswarehouse.com/SearchResults.asp?Search=cr65081-021&Submit=Submit
42,http://store.hgmforkliftparts.com/-p573836.aspx,https://trupar.com/product/?grid%5Bfrontend-product-search-grid%5D=i%3D1%26p%3D12%26f%255Ball_text%255D%255Bvalue%255D%3DCL654139%26f%255Ball_text%255D%255Btype%255D%3D1%26c%3D%26v%3D__all__%26a%3Dgrid%26g%255BoriginalRoute%255D%3Doro_product_frontend_product_index,http://www.liftpartswarehouse.com/SearchResults.asp?Search=cr65081-021&Submit=Submit
43,http://store.hgmforkliftparts.com/-p549107.aspx,https://trupar.com/product/?grid%5Bfrontend-product-search-grid%5D=i%3D1%26p%3D12%26f%255Ball_text%255D%255Bvalue%255D%3DCL100414%26f%255Ball_text%255D%255Btype%255D%3D1%26c%3D%26v%3D__all__%26a%3Dgrid%26g%255BoriginalRoute%255D%3Doro_product_frontend_product_index,http://www.liftpartswarehouse.com/SearchResults.asp?Search=cr65081-021&Submit=Submit
44,http://store.hgmforkliftparts.com/-p550157.aspx,https://trupar.com/product/?grid%5Bfrontend-product-search-grid%5D=i%3D1%26p%3D12%26f%255Ball_text%255D%255Bvalue%255D%3DCL1234676%26f%255Ball_text%255D%255Btype%255D%3D1%26c%3D%26v%3D__all__%26a%3Dgrid%26g%255BoriginalRoute%255D%3Doro_product_frontend_product_index,http://www.liftpartswarehouse.com/SearchResults.asp?Search=cr65081-021&Submit=Submit
45,http://store.hgmforkliftparts.com/-p581620.aspx,https://trupar.com/product/?grid%5Bfrontend-product-search-grid%5D=i%3D1%26p%3D12%26f%255Ball_text%255D%255Bvalue%255D%3DCL882422%26f%255Ball_text%255D%255Btype%255D%3D1%26c%3D%26v%3D__all__%26a%3Dgrid%26g%255BoriginalRoute%255D%3Doro_product_frontend_product_index,http://www.liftpartswarehouse.com/SearchResults.asp?Search=cr65081-021&Submit=Submit
46,http://store.hgmforkliftparts.com/-p581621.aspx,https://trupar.com/product/?grid%5Bfrontend-product-search-grid%5D=i%3D1%26p%3D12%26f%255Ball_text%255D%255Bvalue%255D%3DCL882423%26f%255Ball_text%255D%255Btype%255D%3D1%26c%3D%26v%3D__all__%26a%3Dgrid%26g%255BoriginalRoute%255D%3Doro_product_frontend_product_index,http://www.liftpartswarehouse.com/SearchResults.asp?Search=cr65081-021&Submit=Submit
47,http://store.hgmforkliftparts.com/-p580042.aspx,https://trupar.com/product/?grid%5Bfrontend-product-search-grid%5D=i%3D1%26p%3D12%26f%255Ball_text%255D%255Bvalue%255D%3DCL851621%26f%255Ball_text%255D%255Btype%255D%3D1%26c%3D%26v%3D__all__%26a%3Dgrid%26g%255BoriginalRoute%255D%3Doro_product_frontend_product_index,http://www.liftpartswarehouse.com/SearchResults.asp?Search=cr65081-021&Submit=Submit
48,http://store.hgmforkliftparts.com/-p583486.aspx,https://trupar.com/product/?grid%5Bfrontend-product-search-grid%5D=i%3D1%26p%3D12%26f%255Ball_text%255D%255Bvalue%255D%3DCL909147%26f%255Ball_text%255D%255Btype%255D%3D1%26c%3D%26v%3D__all__%26a%3Dgrid%26g%255BoriginalRoute%255D%3Doro_product_frontend_product_index,http://www.liftpartswarehouse.com/SearchResults.asp?Search=cr65081-021&Submit=Submit
49,http://store.hgmforkliftparts.com/-p583786.aspx,https://trupar.com/product/?grid%5Bfrontend-product-search-grid%5D=i%3D1%26p%3D12%26f%255Ball_text%255D%255Bvalue%255D%3DCL909860%26f%255Ball_text%255D%255Btype%255D%3D1%26c%3D%26v%3D__all__%26a%3Dgrid%26g%255BoriginalRoute%255D%3Doro_product_frontend_product_index,http://www.liftpartswarehouse.com/SearchResults.asp?Search=cr65081-021&Submit=Submit
50,http://store.hgmforkliftparts.com/-p584240.aspx,https://trupar.com/product/?grid%5Bfrontend-product-search-grid%5D=i%3D1%26p%3D12%26f%255Ball_text%255D%255Bvalue%255D%3DCL911363%26f%255Ball_text%255D%255Btype%255D%3D1%26c%3D%26v%3D__all__%26a%3Dgrid%26g%255BoriginalRoute%255D%3Doro_product_frontend_product_index,http://www.liftpartswarehouse.com/SearchResults.asp?Search=cr65081-021&Submit=Submit
51,http://store.hgmforkliftparts.com/-p583469.aspx,https://trupar.com/product/?grid%5Bfrontend-product-search-grid%5D=i%3D1%26p%3D12%26f%255Ball_text%255D%255Bvalue%255D%3DCL909127%26f%255Ball_text%255D%255Btype%255D%3D1%26c%3D%26v%3D__all__%26a%3Dgrid%26g%255BoriginalRoute%255D%3Doro_product_frontend_product_index,http://www.liftpartswarehouse.com/SearchResults.asp?Search=cr65081-021&Submit=Submit
52,http://store.hgmforkliftparts.com/-p584274.aspx,https://trupar.com/product/?grid%5Bfrontend-product-search-grid%5D=i%3D1%26p%3D12%26f%255Ball_text%255D%255Bvalue%255D%3DCL911412%26f%255Ball_text%255D%255Btype%255D%3D1%26c%3D%26v%3D__all__%26a%3Dgrid%26g%255BoriginalRoute%255D%3Doro_product_frontend_product_index,http://www.liftpartswarehouse.com/SearchResults.asp?Search=cr65081-021&Submit=Submit
53,http://store.hgmforkliftparts.com/-p583540.aspx,https://trupar.com/product/?grid%5Bfrontend-product-search-grid%5D=i%3D1%26p%3D12%26f%255Ball_text%255D%255Bvalue%255D%3DCL909213%26f%255Ball_text%255D%255Btype%255D%3D1%26c%3D%26v%3D__all__%26a%3Dgrid%26g%255BoriginalRoute%255D%3Doro_product_frontend_product_index,http://www.liftpartswarehouse.com/SearchResults.asp?Search=cr65081-021&Submit=Submit
54,http://store.hgmforkliftparts.com/-p587091.aspx,https://trupar.com/product/?grid%5Bfrontend-product-search-grid%5D=i%3D1%26p%3D12%26f%255Ball_text%255D%255Bvalue%255D%3DCL925341%26f%255Ball_text%255D%255Btype%255D%3D1%26c%3D%26v%3D__all__%26a%3Dgrid%26g%255BoriginalRoute%255D%3Doro_product_frontend_product_index,http://www.liftpartswarehouse.com/SearchResults.asp?Search=cr65081-021&Submit=Submit
55,http://store.hgmforkliftparts.com/-p1103505.aspx,https://trupar.com/product/?grid%5Bfrontend-product-search-grid%5D=i%3D1%26p%3D12%26f%255Ball_text%255D%255Bvalue%255D%3DCR100462-302-88%26f%255Ball_text%255D%255Btype%255D%3D1%26c%3D%26v%3D__all__%26a%3Dgrid%26g%255BoriginalRoute%255D%3Doro_product_frontend_product_index,http://www.liftpartswarehouse.com/SearchResults.asp?Search=cr65081-021&Submit=Submit
56,http://store.hgmforkliftparts.com/-p1103270.aspx,https://trupar.com/product/?grid%5Bfrontend-product-search-grid%5D=i%3D1%26p%3D12%26f%255Ball_text%255D%255Bvalue%255D%3DCR083179-302-88%26f%255Ball_text%255D%255Btype%255D%3D1%26c%3D%26v%3D__all__%26a%3Dgrid%26g%255BoriginalRoute%255D%3Doro_product_frontend_product_index,http://www.liftpartswarehouse.com/SearchResults.asp?Search=cr65081-021&Submit=Submit
57,http://store.hgmforkliftparts.com/-p595148.aspx,https://trupar.com/product/?grid%5Bfrontend-product-search-grid%5D=i%3D1%26p%3D12%26f%255Ball_text%255D%255Bvalue%255D%3DCR101345%26f%255Ball_text%255D%255Btype%255D%3D1%26c%3D%26v%3D__all__%26a%3Dgrid%26g%255BoriginalRoute%255D%3Doro_product_frontend_product_index,http://www.liftpartswarehouse.com/SearchResults.asp?Search=cr65081-021&Submit=Submit
58,http://store.hgmforkliftparts.com/-p595385.aspx,https://trupar.com/product/?grid%5Bfrontend-product-search-grid%5D=i%3D1%26p%3D12%26f%255Ball_text%255D%255Bvalue%255D%3DCR104483%26f%255Ball_text%255D%255Btype%255D%3D1%26c%3D%26v%3D__all__%26a%3Dgrid%26g%255BoriginalRoute%255D%3Doro_product_frontend_product_index,http://www.liftpartswarehouse.com/SearchResults.asp?Search=cr65081-021&Submit=Submit
59,http://store.hgmforkliftparts.com/-p592528.aspx,https://trupar.com/product/?grid%5Bfrontend-product-search-grid%5D=i%3D1%26p%3D12%26f%255Ball_text%255D%255Bvalue%255D%3DCR065081-055%26f%255Ball_text%255D%255Btype%255D%3D1%26c%3D%26v%3D__all__%26a%3Dgrid%26g%255BoriginalRoute%255D%3Doro_product_frontend_product_index,http://www.liftpartswarehouse.com/SearchResults.asp?Search=cr65081-021&Submit=Submit
60,http://store.hgmforkliftparts.com/-p593408.aspx,https://trupar.com/product/?grid%5Bfrontend-product-search-grid%5D=i%3D1%26p%3D12%26f%255Ball_text%255D%255Bvalue%255D%3DCR077633%26f%255Ball_text%255D%255Btype%255D%3D1%26c%3D%26v%3D__all__%26a%3Dgrid%26g%255BoriginalRoute%255D%3Doro_product_frontend_product_index,http://www.liftpartswarehouse.com/SearchResults.asp?Search=cr65081-021&Submit=Submit
61,http://store.hgmforkliftparts.com/-p596873.aspx,https://trupar.com/product/?grid%5Bfrontend-product-search-grid%5D=i%3D1%26p%3D12%26f%255Ball_text%255D%255Bvalue%255D%3DCR125789%26f%255Ball_text%255D%255Btype%255D%3D1%26c%3D%26v%3D__all__%26a%3Dgrid%26g%255BoriginalRoute%255D%3Doro_product_frontend_product_index,http://www.liftpartswarehouse.com/SearchResults.asp?Search=cr65081-021&Submit=Submit
